Year, BOB, BOS, BAP, GUF, GUR, DS, KAT, BAS
1995, 55642, 87061, 518807, 127382, 100967, 86956, 90253, 1067069
1996, 48631, 74319, 529896, 107413, 71178, 51596, 61389, 944421
1997, 51487, 75208, 460918, 100706, 104226, 53090, 67559, 913194
1998, 77290, 100176, 591227, 125277, 114158, 96091, 95020, 1199239
1999, 59132, 87604, 529077, 122735, 99847, 83586, 106009, 1087991
2000, 81181, 121684, 453137, 124947, 86371, 71399, 102369, 1041087
2001, 62403, 92972, 443036, 127569, 100897, 63509, 88924, 979310
2002, 46513, 67695, 497034, 134751, 84220, 83436, 87638, 1001287
2003, 46594, 67850, 339988, 140604, 59731, 46277, 65109, 766154
2004, 64361, 79072, 394501, 150048, 93480, 65634, 79610, 926705
2005, 69204, 84002, 393369, 123037, 85630, 57568, 69928, 882738
2006, 60613, 89409, 397602, 152455, 65800, 66575, 87508, 919962
2007, 65622, 78109, 455082, 132316, 114489, 74263, 89286, 1009167
2008, 69825, 91709, 393612, 120676, 107505, 61740, 82749, 927816
2009, 47084, 68639, 373474, 125271, 76616, 49616, 65094, 805795
2010, 53027, 73849, 531923, 115708, 93506, 60238, 67212, 995464
2011, 61817, 81415, 468140, 131984, 112189, 63839, 71541, 990926
2012, 81841, 92576, 368817, 129939, 99797, 56448, 72816, 902235
2013, 52713, 66333, 409242, 118775, 78962, 55802, 59519, 841346
2014, 51550, 67644, 335839, 109887, 59823, 57110, 76222, 758076
2015, 51550, 67644, 335839, 109887, 59823, 57110, 76222, 758076
